Departure,Return,Account,Bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (°C),Return temperature (°C),Stopover duration (sec.),Number of stopovers
2018-02-01 0:00,2018-02-01 0:00,ID00001,710,0079 Nelson & Richards,0030 Abbott & Cordova,Archived Monthly Standard,1511,374,3671,3793,6,8,0,0
2018-02-01 0:00,2018-02-01 0:00,ID00002,1118,0055 Keefer & Columbia,0198 6th & Main,365 Standard,1841,523,3689,3940,6,7,0,0
2018-02-01 1:00,2018-02-01 1:00,ID00003,777,0150 Alexander & Main,0092 Chilco & Barclay,365 Day Founding Plus,4273,1053,3735,3984,6,7,0,0
2018-02-01 1:00,2018-02-01 1:00,ID00004,992,0037 Hornby & Nelson,0065 Cypress & Cornwall,Archived Monthly Plus,2127,436,3826,4022,6,8,0,0
2018-02-01 1:00,2018-02-01 1:00,ID00004,992,0065 Cypress & Cornwall,0065 Cypress & Cornwall,Archived Monthly Plus,0,51,3916,3980,9,7,0,0
2018-02-01 1:00,2018-02-01 2:00,ID00003,777,0092 Chilco & Barclay,0092 Chilco & Barclay,365 Day Founding Plus,8515,2287,3819,4116,6,7,0,0
2018-02-01 2:00,2018-02-01 2:00,ID00007,217,0058 Homer & Smithe,0139 Burrard & 4th,365 Day Founding Plus,2736,762,3980,4135,6,8,0,0
2018-02-01 2:00,2018-02-01 2:00,ID00008,735,0011 Ontario & Seawall,0069 7th & Granville,365 Plus,3285,788,4006,4213,5,7,0,0
2018-02-01 2:00,2018-02-01 2:00,ID00009,710,0030 Abbott & Cordova,0174 1st & Ontario,365 Standard,1854,371,3684,3811,6,9,0,0
2018-02-01 2:00,2018-02-01 8:00,ID00010,1262,0012 Dunsmuir & Richards,0040 Cardero & Davie,Archived Monthly Standard,0,21387,3565,3634,5,5,0,0
2018-02-01 3:00,2018-02-01 3:00,ID00011,1419,0008 8th & Ash,0093 Chilco & Robson,365 Day Founding Standard,4465,1057,3950,4196,6,8,0,0
2018-02-01 5:00,2018-02-01 5:00,ID00012,1007,0008 8th & Ash,0030 Abbott & Cordova,365 Standard,2560,570,3792,3939,6,9,0,0
2018-02-01 5:00,2018-02-01 6:00,ID00013,516,0066 Anderson & 2nd,0010 Stamp's Landing,Archived Monthly Standard,1901,488,3787,3922,6,9,0,0
2018-02-01 5:00,2018-02-01 6:00,ID00014,436,0054 Expo & Carrall,0107 8th & Ontario,365 Day Founding Plus,2035,459,4029,4161,6,8,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00015,695,0050 Bute & Comox,0148 Quebec & Milross,365 Plus,3148,656,3913,4135,6,7,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00016,983,0039 Helmcken & Burrard,0204 York & Yew,Archived Monthly Standard,2452,586,3573,3710,6,5,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00017,530,0187 Bute & Davie,0187 Bute & Davie,Archived Monthly Standard,0,48,3929,3968,6,5,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00017,73,0187 Bute & Davie,0028 Davie & Beach,Archived Monthly Standard,951,189,3694,3789,7,9,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00019,658,0001 10th & Cambie,0112 10th & Oak,365 Day Founding Standard,959,328,3966,4111,5,5,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00020,543,0078 Nelson & Mainland,0167 Cordova & Columbia,Archived Monthly Plus,1923,413,3742,3987,6,8,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00021,991,0187 Bute & Davie,0002 Burrard Station,Archived Monthly Plus,1261,498,3913,4034,6,7,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00022,1085,0196 Drake & Hornby,0014 Canada Place,365 Day Founding Standard,1772,540,3750,3927,6,8,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00023,939,0048 Comox & Broughton,0019 Robson & Hornby,365 Standard,1313,510,3645,3747,7,8,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00024,1372,0027 Beatty & Nelson,0026 Beatty & Robson,Archived Monthly Standard,279,174,3832,3942,6,4,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00024,945,0026 Beatty & Robson,0014 Canada Place,Archived Monthly Standard,1596,637,3792,3958,6,7,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00026,180,0088 Harwood & Bute,0039 Helmcken & Burrard,365 Standard,988,248,3782,3887,6,8,0,0
2018-02-01 6:00,2018-02-01 7:00,ID00027,1124,0196 Drake & Hornby,0053 Keefer & Abbott,365 Day Founding Plus,2440,677,3856,4040,6,7,0,0
2018-02-01 6:00,2018-02-01 7:00,ID00028,132,0159 Vine & 4th,0211 14th & Alder,365 Standard,3103,911,3668,3823,7,8,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00029,530,0187 Bute & Davie,0036 Bute & Robson,365 Day Founding Standard,618,275,3900,3997,6,7,0,0
2018-02-01 6:00,2018-02-01 6:00,ID00030,1483,0050 Bute & Comox,0036 Bute & Robson,Archived Monthly Plus,422,149,3565,3656,6,7,0,0
2018-02-01 6:00,2018-02-01 7:00,ID00031,1166,0196 Drake & Hornby,0064 Expo & Smithe,365 Day Founding Plus,1498,389,3964,4103,6,8,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00032,1288,0115 Cypress & 16th,0011 Ontario & Seawall,Archived Monthly Standard,7326,1752,3826,4134,6,8,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00033,1415,0005 Dunsmuir & Beatty,0150 Alexander & Main,365 Standard,1233,377,3681,3864,6,6,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00034,70,0040 Cardero & Davie,0035 Coal Harbour Community Centre,365 Day Founding Standard,1323,338,3740,3852,7,8,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00035,862,0060 Bidwell & Burnaby,0187 Bute & Davie,365 Standard,898,322,3968,4055,6,8,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00036,738,0159 Vine & 4th,0066 Anderson & 2nd,90 Day,1799,629,3653,3798,5,7,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00037,1052,0037 Hornby & Nelson,0024 Hornby & Pender,365 Standard,0,322,3492,3618,5,3,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00038,119,0196 Drake & Hornby,0167 Cordova & Columbia,365 Standard,2850,694,3893,4061,7,9,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00039,1413,0109 7th & Arbutus,0108 Cypress & 1st,365 Day Founding Plus,869,263,3774,3892,5,7,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00040,1134,0050 Bute & Comox,0024 Hornby & Pender,365 Day Founding Standard,1496,347,3569,3698,7,8,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00041,1218,0010 Stamp's Landing,0107 8th & Ontario,365 Plus,1684,519,3568,3682,6,8,0,0
2018-02-01 7:00,2018-02-01 7:00,ID00042,144,0048 Comox & Broughton,0064 Expo & Smithe,365 Day Founding Plus,2180,458,3918,4071,7,8,0,0
